Node,Shape,Dtype,Memory (Bytes)
select,torch.Size([]),torch.int64,8.0
add,"torch.Size([1, 1])",torch.int64,8
arange,torch.Size([1]),torch.int64,8
view,"torch.Size([1, 1])",torch.int64,8
expand,"torch.Size([1, 1])",torch.int64,8
unsqueeze,"torch.Size([1, 1, 1])",torch.int64,8
expand_1,"torch.Size([1, 1, 1])",torch.int64,8
clone,"torch.Size([1, 1, 1])",torch.int64,8
view_1,"torch.Size([1, 1])",torch.int64,8
add_1,"torch.Size([1, 1])",torch.int64,8
unsqueeze_1,"torch.Size([1, 1, 1])",torch.int64,8
expand_2,"torch.Size([3, 1, 1])",torch.int64,24
full,"torch.Size([1, 3610])",torch.bfloat16,7220
arange_1,torch.Size([3610]),torch.int64,28880
view_2,"torch.Size([1, 1])",torch.int64,8
gt,"torch.Size([1, 3610])",torch.bool,3610
arange_2,torch.Size([3610]),torch.int64,28880
view_3,"torch.Size([1, 1])",torch.int64,8
sub,"torch.Size([1, 1])",torch.int64,8
le,"torch.Size([1, 3610])",torch.bool,3610
bitwise_or,"torch.Size([1, 3610])",torch.bool,3610
mul,"torch.Size([1, 3610])",torch.bfloat16,7220
unsqueeze_4,"torch.Size([1, 1, 3610])",torch.bfloat16,7220
unsqueeze_5,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
slice_3,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
slice_4,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
expand_4,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
clone_1,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
slice_5,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
slice_6,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
slice_7,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
slice_8,"torch.Size([1, 3610])",torch.int64,28880
unsqueeze_6,"torch.Size([1, 1, 3610])",torch.int64,28880
unsqueeze_7,"torch.Size([1, 1, 1, 3610])",torch.int64,28880
slice_9,"torch.Size([1, 1, 1, 3610])",torch.int64,28880
add_2,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
eq,"torch.Size([1, 1, 1, 3610])",torch.bool,3610
slice_10,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
slice_11,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
slice_12,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
masked_fill,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
slice_13,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
slice_14,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
slice_15,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
copy,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
slice_16,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
slice_17,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
slice_scatter,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
slice_scatter_1,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
slice_scatter_2,"torch.Size([1, 1, 1, 3610])",torch.bfloat16,7220
unsqueeze_8,"torch.Size([1, 64])",torch.float32,256
unsqueeze_9,"torch.Size([1, 1, 64])",torch.float32,256
slice_21,"torch.Size([1, 1, 64])",torch.float32,256
unsqueeze_10,"torch.Size([1, 1, 64, 1])",torch.float32,256
expand_5,"torch.Size([3, 1, 64, 1])",torch.float32,768
slice_22,"torch.Size([3, 1, 1])",torch.int64,24
slice_23,"torch.Size([3, 1, 1])",torch.int64,24
unsqueeze_11,"torch.Size([3, 1, 1, 1])",torch.int64,24
slice_24,"torch.Size([3, 1, 1, 1])",torch.int64,24
_to_copy,"torch.Size([3, 1, 1, 1])",torch.float32,12
expand_6,"torch.Size([3, 1, 64, 1])",torch.float32,768
view_4,"torch.Size([3, 64, 1])",torch.float32,768
expand_7,"torch.Size([3, 1, 1, 1])",torch.float32,12
view_5,"torch.Size([3, 1, 1])",torch.float32,12
bmm,"torch.Size([3, 64, 1])",torch.float32,768
view_6,"torch.Size([3, 1, 64, 1])",torch.float32,768
transpose,"torch.Size([3, 1, 1, 64])",torch.float32,768
cat,"torch.Size([3, 1, 1, 128])",torch.float32,1536
cos,"torch.Size([3, 1, 1, 128])",torch.float32,1536
sin,"torch.Size([3, 1, 1, 128])",torch.float32,1536
mul_1,"torch.Size([3, 1, 1, 128])",torch.float32,1536
mul_2,"torch.Size([3, 1, 1, 128])",torch.float32,1536
_to_copy_1,"torch.Size([3, 1, 1, 128])",torch.bfloat16,768
_to_copy_2,"torch.Size([3, 1, 1, 128])",torch.bfloat16,768
_to_copy_3,"torch.Size([1, 1, 3584])",torch.float32,14336
pow_1,"torch.Size([1, 1, 3584])",torch.float32,14336
mean,"torch.Size([1, 1, 1])",torch.float32,4
add_3,"torch.Size([1, 1, 1])",torch.float32,4
rsqrt,"torch.Size([1, 1, 1])",torch.float32,4
mul_3,"torch.Size([1, 1, 3584])",torch.float32,14336
_to_copy_4,"torch.Size([1, 1, 3584])",torch.bfloat16,7168
mul_4,"torch.Size([1, 1, 3584])",torch.bfloat16,7168
view_7,"torch.Size([1, 3584])",torch.bfloat16,7168
t,"torch.Size([3584, 3584])",torch.bfloat16,25690112
addmm,"torch.Size([1, 3584])",torch.bfloat16,7168
view_8,"torch.Size([1, 1, 3584])",torch.bfloat16,7168
view_9,"torch.Size([1, 3584])",torch.bfloat16,7168
t_1,"torch.Size([3584, 512])",torch.bfloat16,3670016
addmm_1,"torch.Size([1, 512])",torch.bfloat16,1024
view_10,"torch.Size([1, 1, 512])",torch.bfloat16,1024
view_11,"torch.Size([1, 3584])",torch.bfloat16,7168
t_2,"torch.Size([3584, 512])",torch.bfloat16,3670016
addmm_2,"torch.Size([1, 512])",torch.bfloat16,1024
view_12,"torch.Size([1, 1, 512])",torch.bfloat16,1024
view_13,"torch.Size([1, 1, 28, 128])",torch.bfloat16,7168
transpose_1,"torch.Size([1, 28, 1, 128])",torch.bfloat16,7168
view_14,"torch.Size([1, 1, 4, 128])",torch.bfloat16,1024
transpose_2,"torch.Size([1, 4, 1, 128])",torch.bfloat16,1024
view_15,"torch.Size([1, 1, 4, 128])",torch.bfloat16,1024
transpose_3,"torch.Size([1, 4, 1, 128])",torch.bfloat16,1024
getitem,"torch.Size([3, 1, 1, 16])",torch.bfloat16,96
getitem_1,"torch.Size([3, 1, 1, 24])",torch.bfloat16,144
