node_name,cpu-mem
full,0
arange,0
add,800
view,0
lt,99
masked_fill,0
_to_copy,0
zeros,0
ones_like,0
tril,14556
masked_fill_1,0
slice_3,0
unsqueeze_2,0
unsqueeze_3,0
slice_4,0
expand_1,0
_to_copy_1,0
rsub,-2
_to_copy_2,0
masked_fill_2,0
_to_copy_3,0
unsqueeze_4,0
unsqueeze_5,0
slice_5,0
slice_6,0
expand_2,0
masked_fill_3,0
_to_copy_4,0
pow_1,79073280
mean,18340
add_1,-8
rsqrt,0
mul,79073280
_to_copy_5,0
mul_1,39536640
t,0
view_1,0
mm,58392576
_unsafe_view,0
slice_7,0
slice_8,0
slice_9,0
view_2,0
transpose,0
view_3,0
transpose_1,0
view_4,0
transpose_2,0
arange_1,0
_to_copy_6,0
div,-8
pow_2,-11552
mul_2,-8
reciprocal,0
mul_3,-8
unsqueeze_6,0
slice_10,0
unsqueeze_7,0
expand_3,0
slice_11,0
unsqueeze_8,0
slice_12,0
_to_copy_7,0
expand_4,0
view_5,0
expand_5,0
view_6,0
bmm,608256
view_7,0
transpose_3,0
cos,0
mul_4,-8
sin,0
mul_5,-8
_to_copy_8,1344
_to_copy_9,1344
unsqueeze_9,0
unsqueeze_10,0
mul_6,77856768
slice_13,0
slice_14,0
neg,0
mul_7,77856768
add_2,0
mul_8,77856768
slice_15,0
slice_16,0
neg_1,0
mul_9,77856768
add_3,0
transpose_4,0
expand_6,0
view_8,0
expand_7,0
view_9,0
bmm_1,29810688
view_10,0
div_1,0
add_4,29810688
_to_copy_10,0
_softmax,59621376
_to_copy_11,0
clone,0
expand_8,0
view_11,0
expand_9,0
view_12,0
bmm_2,196608
view_13,0
transpose_5,0
view_14,0
t_1,0
view_15,0
mm_1,19464192
_unsafe_view_1,0
clone_1,0
add_5,0
_to_copy_12,0
pow_3,79073280
mean_1,18340
add_6,-8
rsqrt_1,0
mul_10,79073280
_to_copy_13,0
mul_11,39536640
t_2,0
view_16,0
mm_2,103809024
_unsafe_view_2,0
split,0
silu,51904512
mul_12,0
t_3,0
view_17,0
mm_3,19464192
_unsafe_view_3,0
clone_2,0
add_7,0
_to_copy_14,0
pow_4,79073280
mean_2,18340
add_8,-8
rsqrt_2,0
mul_13,79073280
_to_copy_15,0
mul_14,39536640
t_4,0
view_18,0
mm_4,58392576
_unsafe_view_4,0
slice_17,0
slice_18,0
slice_19,0
view_19,0
transpose_6,0
view_20,0
transpose_7,0
view_21,0
transpose_8,0
arange_2,0
_to_copy_16,0
div_2,-8
pow_5,-11552
mul_15,-8
reciprocal_1,0
mul_16,-8
unsqueeze_11,0
slice_20,0
unsqueeze_12,0
expand_10,0
slice_21,0
unsqueeze_13,0
slice_22,0
_to_copy_17,0
expand_11,0
view_22,0
expand_12,0
view_23,0
bmm_3,608256
view_24,0
transpose_9,0
cos_1,0
mul_17,-8
sin_1,0
mul_18,-8
_to_copy_18,1344
_to_copy_19,1344
unsqueeze_14,0
unsqueeze_15,0
mul_19,77856768
slice_23,0
slice_24,0
neg_2,0
mul_20,77856768
add_9,0
mul_21,77856768
slice_25,0
slice_26,0
neg_3,0
mul_22,77856768
add_10,0
transpose_10,0
expand_13,0
view_25,0
expand_14,0
view_26,0
bmm_4,29810688
view_27,0
div_3,0
add_11,29810688
_to_copy_20,0
_softmax_1,59621376
_to_copy_21,0
clone_3,0
expand_15,0
view_28,0
expand_16,0
view_29,0
bmm_5,196608
view_30,0
transpose_11,0
view_31,0
t_5,0
view_32,0
mm_5,19464192
_unsafe_view_5,0
clone_4,0
add_12,0
_to_copy_22,0
pow_6,79073280
mean_3,18340
add_13,-8
rsqrt_3,0
mul_23,79073280
_to_copy_23,0
mul_24,39536640
t_6,0
view_33,0
mm_6,103809024
_unsafe_view_6,0
split_1,0
silu_1,51904512
mul_25,0
t_7,0
view_34,0
mm_7,19464192
_unsafe_view_7,0
clone_5,0
add_14,0
_to_copy_24,0
pow_7,79073280
mean_4,18340
add_15,-8
rsqrt_4,0
mul_26,79073280
_to_copy_25,0
mul_27,39536640
t_8,0
view_35,0
mm_8,58392576
_unsafe_view_8,0
slice_27,0
slice_28,0
slice_29,0
view_36,0
transpose_12,0
view_37,0
transpose_13,0
view_38,0
transpose_14,0
arange_3,0
_to_copy_26,0
div_4,-8
pow_8,-11552
mul_28,-8
reciprocal_2,0
mul_29,-8
unsqueeze_16,0
slice_30,0
unsqueeze_17,0
expand_17,0
slice_31,0
unsqueeze_18,0
slice_32,0
_to_copy_27,0
expand_18,0
view_39,0
expand_19,0
view_40,0
bmm_6,608256
view_41,0
transpose_15,0
cos_2,0
mul_30,-8
sin_2,0
mul_31,-8
_to_copy_28,1344
_to_copy_29,1344
unsqueeze_19,0
unsqueeze_20,0
mul_32,77856768
slice_33,0
slice_34,0
neg_4,0
mul_33,77856768
add_16,0
mul_34,77856768
slice_35,0
slice_36,0
neg_5,0
mul_35,77856768
add_17,0
transpose_16,0
expand_20,0
view_42,0
expand_21,0
view_43,0
bmm_7,29810688
view_44,0
div_5,0
add_18,29810688
_to_copy_30,0
_softmax_2,59621376
_to_copy_31,0
clone_6,0
expand_22,0
view_45,0
expand_23,0
view_46,0
bmm_8,196608
view_47,0
transpose_17,0
view_48,0
t_9,0
view_49,0
mm_9,19464192
_unsafe_view_9,0
clone_7,0
add_19,0
_to_copy_32,0
pow_9,79073280
mean_5,18340
add_20,-8
rsqrt_5,0
mul_36,79073280
_to_copy_33,0
mul_37,39536640
t_10,0
view_50,0
mm_10,103809024
_unsafe_view_10,0
split_2,0
silu_2,51904512
mul_38,0
t_11,0
view_51,0
mm_11,19464192
_unsafe_view_11,0
clone_8,0
add_21,0
_to_copy_34,0
pow_10,79073280
mean_6,18340
add_22,-8
rsqrt_6,0
mul_39,79073280
_to_copy_35,0
mul_40,39536640
t_12,0
view_52,0
mm_12,58392576
_unsafe_view_12,0
slice_37,0
slice_38,0
slice_39,0
view_53,0
transpose_18,0
view_54,0
transpose_19,0
view_55,0
transpose_20,0
arange_4,0
_to_copy_36,0
div_6,-8
pow_11,-11552
mul_41,-8
reciprocal_3,0
mul_42,-8
unsqueeze_21,0
slice_40,0
unsqueeze_22,0
expand_24,0
slice_41,0
unsqueeze_23,0
slice_42,0
_to_copy_37,0
expand_25,0
view_56,0
expand_26,0
view_57,0
bmm_9,608256
view_58,0
transpose_21,0
cos_3,0
mul_43,-8
sin_3,0
mul_44,-8
_to_copy_38,1344
_to_copy_39,1344
unsqueeze_24,0
unsqueeze_25,0
mul_45,77856768
slice_43,0
slice_44,0
neg_6,0
mul_46,77856768
add_23,0
mul_47,77856768
slice_45,0
slice_46,0
neg_7,0
mul_48,77856768
add_24,0
transpose_22,0
expand_27,0
view_59,0
expand_28,0
view_60,0
bmm_10,29810688
view_61,0
div_7,0
add_25,29810688
_to_copy_40,0
_softmax_3,59621376
_to_copy_41,0
clone_9,0
expand_29,0
view_62,0
expand_30,0
view_63,0
bmm_11,196608
view_64,0
transpose_23,0
view_65,0
t_13,0
view_66,0
mm_13,19464192
_unsafe_view_13,0
clone_10,0
add_26,0
_to_copy_42,0
pow_12,79073280
mean_7,18340
add_27,-8
rsqrt_7,0
mul_49,79073280
_to_copy_43,0
mul_50,39536640
t_14,0
view_67,0
mm_14,103809024
_unsafe_view_14,0
split_3,0
silu_3,51904512
mul_51,0
t_15,0
view_68,0
mm_15,19464192
_unsafe_view_15,0
clone_11,0
add_28,0
_to_copy_44,0
pow_13,79073280
mean_8,18340
add_29,-8
rsqrt_8,0
mul_52,79073280
_to_copy_45,0
mul_53,39536640
t_16,0
view_69,0
mm_16,58392576
_unsafe_view_16,0
slice_47,0
slice_48,0
slice_49,0
view_70,0
transpose_24,0
view_71,0
transpose_25,0
view_72,0
transpose_26,0
arange_5,0
_to_copy_46,0
div_8,-8
pow_14,-11552
mul_54,-8
reciprocal_4,0
mul_55,-8
unsqueeze_26,0
slice_50,0
unsqueeze_27,0
expand_31,0
slice_51,0
unsqueeze_28,0
slice_52,0
_to_copy_47,0
expand_32,0
view_73,0
expand_33,0
view_74,0
bmm_12,608256
view_75,0
transpose_27,0
cos_4,0
mul_56,-8
sin_4,0
mul_57,-8
_to_copy_48,1344
_to_copy_49,1344
unsqueeze_29,0
unsqueeze_30,0
mul_58,77856768
slice_53,0
slice_54,0
neg_8,0
mul_59,77856768
add_30,0
mul_60,77856768
slice_55,0
slice_56,0
neg_9,0
mul_61,77856768
add_31,0
transpose_28,0
expand_34,0
view_76,0
expand_35,0
view_77,0
bmm_13,29810688
view_78,0
div_9,0
add_32,29810688
_to_copy_50,0
_softmax_4,59621376
_to_copy_51,0
clone_12,0
expand_36,0
view_79,0
expand_37,0
view_80,0
bmm_14,196608
view_81,0
transpose_29,0
view_82,0
t_17,0
view_83,0
mm_17,19464192
_unsafe_view_17,0
clone_13,0
add_33,0
_to_copy_52,0
pow_15,79073280
mean_9,18340
add_34,-8
rsqrt_9,0
mul_62,79073280
_to_copy_53,0
mul_63,39536640
t_18,0
view_84,0
mm_18,103809024
_unsafe_view_18,0
split_4,0
silu_4,51904512
mul_64,0
t_19,0
view_85,0
mm_19,19464192
_unsafe_view_19,0
clone_14,0
add_35,0
_to_copy_54,0
pow_16,79073280
mean_10,18340
add_36,-8
rsqrt_10,0
mul_65,79073280
_to_copy_55,0
mul_66,39536640
t_20,0
view_86,0
mm_20,58392576
_unsafe_view_20,0
slice_57,0
slice_58,0
slice_59,0
view_87,0
transpose_30,0
view_88,0
transpose_31,0
view_89,0
transpose_32,0
arange_6,0
_to_copy_56,0
div_10,-8
pow_17,-11552
mul_67,-8
reciprocal_5,0
mul_68,-8
unsqueeze_31,0
slice_60,0
unsqueeze_32,0
expand_38,0
slice_61,0
