node_name,cpu-time
convolution,345.2793333333343
_native_batch_norm_legit_no_training,81.88066666666616
relu,88.38733333333282
max_pool2d_with_indices,230.879333333334
convolution_1,300.6571666666661
_native_batch_norm_legit_no_training_1,43.620166666666705
relu_1,68.98591666666664
convolution_2,300.6571666666661
_native_batch_norm_legit_no_training_2,43.620166666666705
add,79.50533333333328
relu_2,68.98591666666664
convolution_3,300.6571666666661
_native_batch_norm_legit_no_training_3,43.620166666666705
relu_3,68.98591666666664
convolution_4,300.6571666666661
_native_batch_norm_legit_no_training_4,43.620166666666705
add_1,79.50533333333328
relu_4,68.98591666666664
convolution_5,290.4023333333336
_native_batch_norm_legit_no_training_5,39.77819999999986
relu_5,62.36341666666681
convolution_6,276.82311111111136
_native_batch_norm_legit_no_training_6,39.77819999999986
convolution_7,305.78600000000034
_native_batch_norm_legit_no_training_7,39.77819999999986
add_2,62.5311666666668
relu_6,62.36341666666681
convolution_8,276.82311111111136
_native_batch_norm_legit_no_training_8,39.77819999999986
relu_7,62.36341666666681
convolution_9,276.82311111111136
_native_batch_norm_legit_no_training_9,39.77819999999986
add_3,62.5311666666668
relu_8,62.36341666666681
convolution_10,292.2386666666671
_native_batch_norm_legit_no_training_10,38.42860000000019
relu_9,60.97050000000028
convolution_11,349.318333333333
_native_batch_norm_legit_no_training_11,38.42860000000019
convolution_12,239.8759999999987
_native_batch_norm_legit_no_training_12,38.42860000000019
add_4,63.489333333333285
relu_10,60.97050000000028
convolution_13,349.318333333333
_native_batch_norm_legit_no_training_13,38.42860000000019
relu_11,60.97050000000028
convolution_14,349.318333333333
_native_batch_norm_legit_no_training_14,38.42860000000019
add_5,63.489333333333285
relu_12,60.97050000000028
convolution_15,388.1806666666671
_native_batch_norm_legit_no_training_15,39.68193333333353
relu_13,43.33041666666744
convolution_16,532.5310000000003
_native_batch_norm_legit_no_training_16,39.68193333333353
convolution_17,217.17833333333388
_native_batch_norm_legit_no_training_17,39.68193333333353
add_6,52.29766666666698
relu_14,43.33041666666744
convolution_18,532.5310000000003
_native_batch_norm_legit_no_training_18,39.68193333333353
relu_15,43.33041666666744
convolution_19,532.5310000000003
_native_batch_norm_legit_no_training_19,39.68193333333353
add_7,52.29766666666698
relu_16,43.33041666666744
mean,55.29033333333306
view,6.272666666668253
t,9.110000000000582
addmm,159.26100000000042
